"Dato","Koretojer i alt","Personbiler i alt","Personbiler i alt, sosonkorrigeret","Personbiler i husholdningerne","Personbiler i husholdningerne, saesonkorrigeret","Personbiler i erhverv","Personbiler i erhvervene, saesonkorrigeret","Busser i alt","Vare- og lastbiler i alt","Varebiler, totalvaegt 0-2.000 kg","Varebiler, totalvaegt 2.001-3.000 kg","Varebiler, totalvaegt 3.001-3.500 kg","Lastbiler, totalvaegt over 3.500 kg","Motorcykler i alt","Knallert-30 i alt","Knallert-45 i alt","Campingvogne i alt"
"1992M01",9717,7147,..,4282,..,2527,..,58,2317,351,1390,247,329,21,..,..,174
"1992M02",9600,7314,..,4841,..,2228,..,67,1899,274,1137,192,296,44,..,..,276
"1992M03",13016,9897,..,6816,..,2779,..,180,2285,265,1252,231,537,178,..,..,476
"1992M04",12357,9717,..,6841,..,2558,..,115,1749,226,1092,238,193,211,..,..,565
"1992M05",11200,8701,..,5612,..,2775,..,164,1728,223,1034,234,237,210,..,..,397
"1992M06",10537,7654,..,5209,..,2218,..,176,2042,307,1176,251,308,187,..,..,478
"1992M07",8847,6763,..,4467,..,2121,..,124,1445,230,813,162,240,139,..,..,376
"1992M08",8145,6228,..,4301,..,1747,..,89,1434,203,842,189,200,101,..,..,293
"1992M09",9404,7077,..,4798,..,2090,..,147,1925,275,1170,223,257,51,..,..,204
"1992M10",8361,6177,..,4279,..,1710,..,158,1880,247,1089,243,301,31,..,..,115
"1992M11",6173,4334,..,2852,..,1337,..,136,1567,239,897,177,254,21,..,..,115
"1992M12",5595,3509,..,1954,..,1383,..,141,1886,265,1102,258,261,14,..,..,45
"1993M01",7541,5600,..,3107,..,1834,..,123,1681,259,975,218,229,18,..,..,119
"1993M02",6980,4913,..,2993,..,1471,..,117,1675,241,1020,183,231,36,..,..,239
"1993M03",10556,7823,..,5014,..,2199,..,135,1893,324,1091,213,265,196,..,..,509
"1993M04",10978,8750,..,5668,..,2399,..,153,1434,218,806,187,223,239,..,..,402
"1993M05",10763,7518,..,4716,..,2175,..,380,2288,254,1696,185,153,207,..,..,370
"1993M06",10144,7277,..,4915,..,1917,..,170,2060,253,1309,249,249,199,..,..,438
"1993M07",9165,6783,..,4693,..,1695,..,151,1497,152,966,213,166,366,..,..,368
"1993M08",8891,6627,..,4566,..,1660,..,113,1655,191,1092,207,165,173,..,..,323
"1993M09",8735,6672,..,4648,..,1576,..,101,1664,203,1049,203,209,109,..,..,189
"1993M10",9060,7083,..,4976,..,1552,..,166,1656,224,985,289,158,60,..,..,95
"1993M11",9241,6794,..,4399,..,1822,..,238,2094,251,1115,563,165,35,..,..,80
"1993M12",8981,6244,..,3032,..,2290,..,286,2373,349,1204,525,295,24,..,..,54
"1994M01",9562,7567,..,5484,..,1720,..,176,1640,324,799,312,205,45,..,..,134
"1994M02",11257,9337,..,6146,..,2780,..,141,1455,262,531,478,184,64,..,..,260
"1994M03",18105,14958,..,11535,..,2849,..,180,1968,323,555,787,303,366,..,..,633
"1994M04",15566,12770,..,9849,..,2494,..,112,1801,305,373,849,274,368,..,..,515
"1994M05",16456,13358,..,10161,..,2716,..,65,2232,388,479,1013,352,299,..,..,502
"1994M06",19237,16136,..,12272,..,3228,..,81,2254,370,576,911,397,259,..,..,507
"1994M07",13327,11271,..,8804,..,1993,..,62,1445,203,361,627,254,244,..,..,305
"1994M08",12894,10692,..,8134,..,2163,..,49,1678,261,337,805,275,167,..,..,308
"1994M09",13998,11476,..,8625,..,2346,..,41,2206,293,637,952,324,85,..,..,190
"1994M10",13604,11434,..,8618,..,2302,..,43,1944,272,416,963,293,58,..,..,125
"1994M11",13175,10549,..,7728,..,2239,..,82,2378,338,471,1248,321,33,..,..,133
"1994M12",12398,9446,..,4978,..,3612,..,76,2808,457,508,1480,363,26,..,..,42
"1995M01",12419,9731,..,7132,..,2197,..,47,2438,345,444,1264,385,34,..,..,169
"1995M02",14599,12202,..,8374,..,3146,..,32,1979,283,336,1065,295,63,..,..,323
"1995M03",19875,15926,..,11997,..,3373,..,45,2842,369,450,1517,506,336,..,..,726
"1995M04",16064,12818,..,9643,..,2651,..,49,2281,320,382,1182,397,355,..,..,561
"1995M05",16678,12932,..,9694,..,2681,..,65,2721,386,434,1428,473,406,..,..,554
"1995M06",17174,13154,..,9908,..,2711,..,53,3030,359,511,1629,531,378,..,..,559
"1995M07",12310,9840,..,7587,..,1876,..,32,1803,256,315,908,324,260,..,..,375
"1995M08",12770,9702,..,7293,..,2005,..,25,2418,281,410,1303,424,227,..,..,398
"1995M09",13221,10191,..,7679,..,2035,..,58,2593,290,416,1446,441,111,..,..,268
"1995M10",13185,10569,..,7907,..,2185,..,36,2348,320,404,1157,467,51,..,..,181
"1995M11",13100,10186,..,6692,..,3004,..,62,2683,316,332,1594,441,28,..,..,141
"1995M12",11773,8461,..,3822,..,3851,..,76,3184,386,494,1865,439,14,..,..,38
"1996M01",11932,9214,..,7052,..,1785,..,60,2431,309,363,1283,476,23,..,..,204
"1996M02",12846,10521,..,7392,..,2722,..,72,1901,235,318,1005,343,46,..,..,306
"1996M03",20783,16487,..,12989,..,2972,..,54,2923,323,405,1644,551,425,..,..,894
"1996M04",18543,14734,..,11530,..,2690,..,56,2507,322,356,1325,504,573,..,..,673
"1996M05",19704,15441,..,11625,..,3271,..,143,2839,334,431,1634,440,633,..,..,648
"1996M06",17013,12957,..,9632,..,2877,..,82,2921,320,565,1579,457,471,..,..,582
"1996M07",13948,11058,..,8519,..,2189,..,75,2119,262,464,1069,324,274,..,..,422
"1996M08",13461,10382,..,7784,..,2201,..,90,2396,271,422,1295,408,226,..,..,367
"1996M09",13049,9831,..,7081,..,2349,..,43,2769,303,521,1491,454,156,..,..,250
"1996M10",14887,12073,..,9101,..,2557,..,57,2509,325,439,1396,349,90,..,..,158
"1996M11",13405,10535,..,7708,..,2380,..,52,2629,320,473,1488,348,59,..,..,130
"1996M12",12287,8693,..,4756,..,3310,..,94,3420,496,604,1950,370,22,..,..,58
"1997M01",13196,10167,..,7809,..,2048,..,39,2758,331,577,1387,463,40,..,..,192
"1997M02",15412,12494,..,9044,..,3123,..,30,2410,317,487,1281,325,102,..,..,376
"1997M03",20779,16638,..,13235,..,3045,..,41,2641,326,509,1349,457,653,..,..,806
"1997M04",19905,15459,..,12207,..,2858,..,66,3082,361,579,1582,560,593,..,..,705
"1997M05",35848,29700,..,21645,..,7225,..,60,4923,563,840,3048,472,595,..,..,570
"1997M06",11634,8111,..,5632,..,2230,..,60,2423,178,441,1343,461,434,..,..,606
"1997M07",11303,8244,..,6133,..,1873,..,52,2209,190,548,1102,369,342,..,..,456
"1997M08",12419,9450,..,6964,..,2212,..,40,2309,168,624,1125,392,231,..,..,389
"1997M09",13634,10296,..,7849,..,2150,..,109,2848,172,820,1391,465,123,..,..,258
"1997M10",15019,11887,..,8843,..,2698,..,55,2809,246,937,1195,431,79,..,..,189
"1997M11",13218,10491,..,7295,..,2854,..,44,2516,196,953,1000,367,31,..,..,136
"1997M12",13667,9670,..,5214,..,3974,..,65,3870,283,1567,1649,371,13,..,..,49
"1998M01",14652,12039,..,9443,..,2355,..,62,2300,191,939,738,432,37,..,..,214
"1998M02",15779,12765,..,9551,..,2984,..,75,2426,225,944,820,437,138,..,..,375
"1998M03",21188,16734,..,13079,..,3404,..,35,2960,194,1213,981,572,503,..,..,956
"1998M04",19906,15731,..,12075,..,3366,..,59,2730,173,1275,770,512,642,..,..,744
"1998M05",17029,13111,..,9570,..,3300,..,141,2448,137,1078,780,453,685,..,..,644
"1998M06",26011,21053,..,14978,..,5676,..,139,3567,227,1729,1043,568,523,..,..,729
"1998M07",15283,11990,..,9483,..,2233,..,71,2323,129,984,681,529,395,..,..,504
"1998M08",15318,11872,..,8963,..,2591,..,81,2712,246,1108,871,487,227,..,..,426
"1998M09",16315,12383,..,8867,..,3269,..,69,3485,184,1564,1252,485,119,..,..,259
"1998M10",14596,11544,..,8362,..,2980,..,46,2766,149,1343,798,476,67,..,..,173
"1998M11",14971,11781,..,8242,..,3357,..,46,2970,177,1503,896,394,33,..,..,141
"1998M12",14920,11235,..,5852,..,5074,..,61,3572,209,1694,1212,457,7,..,..,45
"1999M01",13375,10375,..,8000,..,2234,..,50,2759,129,1408,737,485,29,..,..,162
"1999M02",15320,12059,..,9147,..,2789,..,43,2742,129,1406,785,422,113,..,..,363
"1999M03",22737,17073,..,13029,..,3905,..,36,3746,194,1905,1031,616,848,..,..,1034
"1999M04",17528,13184,..,9877,..,3197,..,44,2933,134,1469,820,510,712,..,..,655
"1999M05",17774,13246,..,9599,..,3482,..,156,2970,128,1518,807,517,694,..,..,708
"1999M06",19518,14454,..,9799,..,4500,..,114,3588,124,1839,1070,555,634,..,..,728
"1999M07",14886,11441,..,8293,..,3026,..,46,2336,109,1199,643,385,516,..,..,547
"1999M08",13589,9938,..,7228,..,2610,..,44,2898,97,1526,860,415,309,..,..,400
"1999M09",14071,9995,..,6887,..,2982,..,105,3461,144,1731,1133,453,207,..,..,303
"1999M10",13133,10023,..,7029,..,2887,..,26,2802,123,1501,773,405,72,..,..,210
"1999M11",13227,10226,..,6878,..,3202,..,33,2778,125,1410,852,391,48,..,..,142
"1999M12",16541,12218,..,6060,..,5898,..,52,4193,181,2190,1399,423,20,..,..,58
