"date","Milk ex farm, total (m kg)","Delivered milk to dairies (m kg)","Delivered organic milk to dairies (m kg)","Avarage fat content of delivered milk to the dairies (percent)","Avarage protein content of delivered milk to dairies (percent)","Milk ex farm, total (DK ore per kg)","Milk ex farm with 4,2% fat content and 3,4%protein content (DK ore pr. kg)","Milk ex farm, total (DKK Mio)","Production of butter (m kg)","Production of cheese, total (m kg)","Production of preserved milk (m kg)","Production of cream milk powder, whole milk powder and partly skimmed powder, total (m kg)","Production of skimmed milk powder, total (m kg)","Production of skim milk powder, export, total (m kg)","Price ratio of milk/compound feeds for cattle"
"1995M01",379.27,362.57,..,4.53,3.49,254.35,242.13,937.78,4.94,27.50,9.90,8.89,0.98,1.12,16.17
"1995M02",343.06,326.36,..,4.48,3.43,250.47,242.13,833.31,3.82,24.30,8.20,7.71,0.51,1.24,16.15
"1995M03",386.57,369.97,..,4.50,3.40,249.84,242.13,939.88,4.73,26.10,10.20,8.93,1.36,1.02,16.18
"1995M04",400.38,383.78,..,4.48,3.38,248.50,242.18,970.63,5.33,24.90,12.00,10.15,1.85,1.21,16.21
"1995M05",429.01,412.31,..,4.30,3.38,243.28,242.18,1018.86,5.46,27.80,12.80,11.41,1.37,0.90,16.49
"1995M06",405.55,388.85,..,4.22,3.40,241.75,242.18,954.91,4.72,25.70,13.00,11.50,1.49,1.27,16.51
"1995M07",411.74,395.04,..,4.12,3.33,236.09,242.18,947.19,4.95,25.00,12.20,10.02,2.17,2.31,16.61
"1995M08",401.58,384.88,..,4.09,3.28,233.20,242.18,912.28,4.24,25.70,11.10,9.64,1.50,2.20,16.58
"1995M09",383.90,367.30,..,4.22,3.39,241.33,242.18,901.39,4.10,25.10,10.40,8.60,1.73,3.74,16.59
"1995M10",387.38,370.78,..,4.37,3.48,247.11,240.12,939.52,3.95,26.60,9.60,8.05,1.50,1.71,16.50
"1995M11",367.18,350.48,..,4.46,3.54,249.06,237.12,888.40,3.44,26.00,9.20,7.78,1.41,1.50,16.31
"1995M12",376.89,360.19,..,4.49,3.49,247.84,237.12,908.10,4.62,26.50,9.20,6.56,2.60,1.10,16.29
"1996M01",377.20,360.50,..,4.47,3.44,252.18,244.95,924.74,5.00,25.30,9.80,7.81,1.90,1.64,16.74
"1996M02",351.50,334.80,..,4.45,3.42,250.99,244.95,856.11,4.40,23.60,8.60,7.08,1.47,1.84,16.73
"1996M03",385.20,368.60,..,4.46,3.40,250.55,244.95,939.07,4.40,25.70,10.60,8.40,2.20,1.26,16.64
"1996M04",401.45,384.85,..,4.38,3.34,246.77,244.95,966.09,5.70,25.90,10.20,7.00,3.23,1.90,16.52
"1996M05",423.75,407.05,..,4.31,3.31,243.96,244.95,1008.78,5.40,27.40,11.50,8.79,2.67,3.17,15.65
"1996M06",410.53,393.83,8.20,4.16,3.37,242.22,244.95,969.35,4.80,24.20,11.70,9.24,2.54,2.48,15.39
"1996M07",415.72,399.02,11.40,4.17,3.39,243.16,244.95,985.02,5.20,23.20,12.80,9.46,3.26,1.99,15.33
"1996M08",407.36,390.66,11.30,4.14,3.34,240.68,244.95,955.26,4.90,23.00,11.70,9.02,2.67,2.36,15.26
"1996M09",386.68,370.08,10.60,4.25,3.45,247.24,244.95,930.33,4.10,25.40,10.80,8.69,2.06,2.26,15.19
"1996M10",386.03,369.43,10.50,4.43,3.54,250.90,240.95,942.37,4.40,25.40,11.60,9.30,2.30,2.32,14.63
"1996M11",368.31,351.61,10.10,4.49,3.55,252.74,240.95,904.57,3.90,25.40,9.90,8.24,1.65,2.52,14.55
"1996M12",380.90,364.20,10.60,4.54,3.54,253.67,240.95,940.10,4.40,24.70,11.10,9.81,1.72,1.37,14.57
"1997M01",381.50,364.80,10.70,4.55,3.52,253.44,241.25,940.26,5.10,24.70,10.30,8.10,2.20,1.95,14.45
"1997M02",342.10,325.40,9.70,4.48,3.45,249.37,241.25,827.16,4.00,22.40,8.40,6.60,1.80,1.72,14.40
"1997M03",373.40,356.80,10.90,4.45,3.42,247.58,241.25,898.73,3.70,24.30,10.30,8.70,1.60,1.30,14.40
"1997M04",389.20,372.60,11.00,4.42,3.40,245.41,241.25,929.61,4.70,23.10,10.70,8.70,2.00,1.35,14.35
"1997M05",418.60,401.90,12.30,4.33,3.39,245.78,244.25,1003.29,5.40,24.20,12.40,9.40,3.00,1.16,14.74
"1997M06",405.60,388.90,12.30,4.20,3.39,244.49,246.25,966.22,4.50,23.60,12.50,9.40,3.10,1.17,15.00
"1997M07",405.30,388.60,12.30,4.15,3.34,241.51,246.25,953.48,4.30,23.20,12.40,10.20,2.20,1.04,15.00
