date,pe_ratio
1996-07,13.66
1996-08,13.66
1996-09,13.74
1996-10,14.05
1996-11,14.47
1996-12,14.35
1997-01,15.81
1997-02,16.71
1997-03,17.33
1997-04,16.35
1997-05,17.09
1997-06,17.7
1997-07,18.5
1997-08,18.94
1997-09,17.97
1997-10,17.12
1997-11,17.12
1997-12,17.31
1998-01,18.36
1998-02,19.3
1998-03,20.69
1998-04,21.01
1998-05,21.26
1998-06,20.9
1998-07,20.06
1998-08,20.11
1998-09,17.39
1998-10,16.35
1998-11,15.41
1998-12,17.12
1999-01,18.24
1999-02,18.24
1999-03,16.48
1999-04,17.89
1999-05,18.24
1999-06,18.64
1999-07,19.84
1999-08,19.49
1999-09,19.22
1999-10,19.71
1999-11,20.31
1999-12,21.4
2000-01,22.17
2000-02,21.89
2000-03,23.42
2000-04,22.79
2000-05,22.4
2000-06,22.64
2000-07,22.85
2000-08,24.49
2000-09,24.29
2000-10,23.88
2000-11,22.29
2000-12,20.26
2001-01,19.96
2001-02,19.11
2001-03,17.62
2001-04,17.03
2001-05,17.03
2001-06,16.73
2001-07,16.46
2001-08,16.18
2001-09,15.54
2001-10,15.13
2001-11,14.93
2001-12,15.56
2002-01,15.9
2002-02,15.9
2002-03,15.92
2002-04,16.11
2002-05,15.92
2002-06,16.24
2002-07,14.4
2002-08,13.86
2002-09,13.25
2002-10,12.64
2002-11,12.5
2002-12,12.5
2003-01,12.64
2003-02,11.99
2003-03,11.57
2003-04,12.54
2003-05,12.81
2003-06,13.1
2003-07,13.55
2003-08,13.55
2003-09,14.01
2003-10,14.46
2003-11,14.46
2003-12,14.34
2004-01,14.55
2004-02,15.11
2004-03,15.28
2004-04,15.19
2004-05,14.65
2004-06,14.9
2004-07,14.9
2004-08,15.16
2004-09,14.73
2004-10,14.73
2004-11,14.52
2004-12,14.41
2005-01,14.5
2005-02,15.18
2005-03,15.48
2005-04,14.55
2005-05,14.26
2005-06,14.0
2005-07,14.48
2005-08,14.48
2005-09,14.7
2005-10,14.66
2005-11,14.05
2005-12,14.05
2006-01,14.4
2006-02,14.25
2006-03,14.99
2006-04,15.98
2006-05,15.44
2006-06,13.48
2006-07,13.48
2006-08,14.33
2006-09,15.02
2006-10,15.32
2006-11,15.62
2006-12,15.34
2007-01,15.95
2007-02,16.57
2007-03,15.43
2007-04,16.33
2007-05,16.33
2007-06,16.09
2007-07,16.56
2007-08,15.66
2007-09,15.42
2007-10,15.69
2007-11,15.0
2007-12,14.15
2008-01,12.23
2008-02,13.22
2008-03,12.86
2008-04,13.07
2008-05,14.09
2008-06,12.99
2008-07,13.45
2008-08,13.16
2008-09,10.84
2008-10,8.61
2008-11,9.57
2008-12,9.9
2009-01,11.1
2009-02,12.06
2009-03,11.46
2009-04,13.57
2009-05,15.7
2009-06,16.05
2009-07,16.74
2009-08,17.1
2009-09,17.25
2009-10,17.37
2009-11,16.56
2009-12,16.56
2010-01,16.65
2010-02,15.75
2010-03,15.99
2010-04,16.25
2010-05,16.25
2010-06,14.86
2010-07,15.63
2010-08,14.79
2010-09,14.17
2010-10,14.17
2010-11,14.02
2010-12,14.02
2011-01,14.96
2011-02,14.96
2011-03,14.88
2011-04,14.27
2011-05,14.16
2011-06,13.51
2011-07,12.87
2011-08,12.01
2011-09,11.47
2011-10,12.41
2011-11,13.21
2011-12,13.7
2012-01,14.44
2012-02,16.67
2012-03,16.1
2012-04,15.91
2012-05,15.22
2012-06,14.05
2012-07,15.15
2012-08,15.77
2012-09,15.77
2012-10,15.77
2012-11,14.68
2012-12,14.79
2013-01,14.99
2013-02,16.16
2013-03,16.25
2013-04,15.48
2013-05,15.38
2013-06,13.99
2013-07,13.99
2013-08,14.79
2013-09,14.79
2013-10,14.6
2013-11,15.23
2013-12,14.92
2014-01,16.13
2014-02,17.87
2014-03,17.43
2014-04,16.66
2014-05,16.66
2014-06,17.88
2014-07,17.88
2014-08,17.23
2014-09,17.4
2014-10,17.11
2014-11,17.11
2014-12,15.75
2015-01,15.75
2015-02,18.29
2015-03,18.93
2015-04,20.19
2015-05,20.19
2015-06,18.22
2015-07,19.35
2015-08,18.18
2015-09,16.89
2015-10,17.49
2015-11,18.38
2015-12,18.7
2016-01,17.84
2016-02,18.54
2016-03,19.47
2016-04,19.15
2016-05,18.9
2016-06,18.29
2016-07,19.33
2016-08,18.19
2016-09,17.69
2016-10,16.77
2016-11,15.64
2016-12,15.64
2017-01,16.44
2017-02,16.29
2017-03,16.63
2017-04,16.7
2017-05,17.03
2017-06,17.31
2017-07,17.01
2017-08,17.01
2017-09,17.37
2017-10,17.37
2017-11,17.31
2017-12,17.31
2018-01,18.23
2018-02,17.73
2018-03,17.4
2018-04,17.16
2018-05,17.45
2018-06,17.04
2018-07,17.54
2018-08,18.15
2018-09,17.65
2018-10,16.18
2018-11,16.18
2018-12,16.27
2019-01,17.32
2019-02,18.59
2019-03,19.11
2019-04,18.84
2019-05,18.33
2019-06,19.29
2019-07,19.29
2019-08,18.91
2019-09,19.76
2019-10,19.63
2019-11,20.95
2019-12,21.34
2020-01,21.67
2020-02,23.24
2020-03,21.89
2020-04,24.92
2020-05,26.05
2020-06,27.07
2020-07,27.09
2020-08,25.72
2020-09,25.06
2020-10,26.48
2020-11,24.77
2020-12,25.98
2021-01,26.09
2021-02,24.16
2021-03,23.56
2021-04,24.41
2021-05,23.52
2021-06,23.84
2021-07,24.93
2021-08,25.17
2021-09,24.71
2021-10,23.07
2021-11,23.57
2021-12,20.06
2022-01,17.66
2022-02,16.55
2022-03,18.43
2022-04,18.54
2022-05,16.26
2022-06,16.57
2022-07,17.9
2022-08,17.53
2022-09,15.3
2022-10,11.58
2022-11,12.97
2022-12,11.29
2023-01,11.53
2023-02,11.45
2023-03,12.21
2023-04,12.55
2023-05,12.15
2023-06,11.92
2023-07,12.11
2023-08,12.3
2023-09,13.4
2023-10,12.92
2023-11,12.07
2023-12,15.53
2024-01,14.45
2024-02,15.83
2024-03,18.84
